1.738051799144631624e+09 -2.000000000000000000e+00 -1.700000000000000000e+01 1.300000000000000000e+01 1.900000000000000000e+01 3.300000000000000000e+01 3.000000000000000000e+00 -4.000000000000000000e+00 9.000000000000000000e+00
1.738051799144631624e+09 -1.100000000000000000e+01 -1.400000000000000000e+01 -2.200000000000000000e+01 -1.600000000000000000e+01 5.400000000000000000e+01 9.000000000000000000e+00 -4.000000000000000000e+00 -7.000000000000000000e+00
1.738051799144631624e+09 -3.000000000000000000e+00 -1.000000000000000000e+01 7.000000000000000000e+00 1.100000000000000000e+01 -1.000000000000000000e+00 2.200000000000000000e+01 6.000000000000000000e+00 1.000000000000000000e+00
1.738051799144631624e+09 1.700000000000000000e+01 2.200000000000000000e+01 -8.000000000000000000e+00 2.500000000000000000e+01 -9.900000000000000000e+01 -2.400000000000000000e+01 -8.000000000000000000e+00 4.000000000000000000e+00
1.738051799144631624e+09 -4.000000000000000000e+00 -1.000000000000000000e+01 3.200000000000000000e+01 -1.900000000000000000e+01 8.600000000000000000e+01 -2.800000000000000000e+01 -1.000000000000000000e+00 -5.000000000000000000e+00
1.738051799144631624e+09 -5.000000000000000000e+00 -4.000000000000000000e+00 1.600000000000000000e+01 1.000000000000000000e+00 1.270000000000000000e+02 4.700000000000000000e+01 1.100000000000000000e+01 -3.000000000000000000e+00
1.738051799144631624e+09 7.000000000000000000e+00 1.400000000000000000e+01 -6.600000000000000000e+01 2.400000000000000000e+01 8.000000000000000000e+00 5.800000000000000000e+01 1.500000000000000000e+01 6.000000000000000000e+00
1.738051799144631624e+09 -9.000000000000000000e+00 -1.700000000000000000e+01 1.600000000000000000e+01 -4.700000000000000000e+01 -9.500000000000000000e+01 -5.200000000000000000e+01 -2.300000000000000000e+01 -1.500000000000000000e+01
1.738051799144631624e+09 -7.000000000000000000e+00 -5.000000000000000000e+00 1.800000000000000000e+01 7.000000000000000000e+00 6.900000000000000000e+01 4.000000000000000000e+00 2.000000000000000000e+00 -1.000000000000000000e+00
1.738051799144631624e+09 -1.700000000000000000e+01 2.000000000000000000e+00 -9.000000000000000000e+00 5.000000000000000000e+00 1.270000000000000000e+02 -2.200000000000000000e+01 1.400000000000000000e+01 -4.000000000000000000e+00
1.738051799144631624e+09 -5.000000000000000000e+00 -4.000000000000000000e+00 -6.300000000000000000e+01 -4.800000000000000000e+01 -1.280000000000000000e+02 -9.200000000000000000e+01 -2.100000000000000000e+01 0.000000000000000000e+00
1.738051799144631624e+09 -8.000000000000000000e+00 9.000000000000000000e+00 -1.600000000000000000e+01 1.600000000000000000e+01 1.250000000000000000e+02 6.300000000000000000e+01 9.000000000000000000e+00 4.000000000000000000e+00
1.738051799144631624e+09 -5.000000000000000000e+00 2.600000000000000000e+01 7.000000000000000000e+01 1.200000000000000000e+01 -1.800000000000000000e+01 3.700000000000000000e+01 -3.000000000000000000e+00 -6.000000000000000000e+00
1.738051799144631624e+09 8.000000000000000000e+00 -1.000000000000000000e+01 -1.110000000000000000e+02 1.000000000000000000e+00 -5.700000000000000000e+01 3.300000000000000000e+01 -4.000000000000000000e+00 6.000000000000000000e+00
1.738051799144631624e+09 -9.000000000000000000e+00 -8.000000000000000000e+00 1.600000000000000000e+01 -1.900000000000000000e+01 7.800000000000000000e+01 4.200000000000000000e+01 0.000000000000000000e+00 -2.000000000000000000e+00
1.738051799144631624e+09 -1.200000000000000000e+01 -1.700000000000000000e+01 2.600000000000000000e+01 7.000000000000000000e+00 -6.000000000000000000e+00 -8.000000000000000000e+01 4.000000000000000000e+00 -4.000000000000000000e+00
1.738051799144631624e+09 -1.000000000000000000e+00 1.100000000000000000e+01 -1.500000000000000000e+01 -8.000000000000000000e+00 -5.400000000000000000e+01 -1.200000000000000000e+01 -4.000000000000000000e+00 -2.000000000000000000e+00
1.738051799144631624e+09 -2.000000000000000000e+00 4.000000000000000000e+00 1.270000000000000000e+02 2.500000000000000000e+01 7.000000000000000000e+01 4.000000000000000000e+00 3.000000000000000000e+00 6.000000000000000000e+00
1.738051799144631624e+09 -2.000000000000000000e+00 -4.000000000000000000e+00 1.150000000000000000e+02 -8.000000000000000000e+00 8.800000000000000000e+01 1.800000000000000000e+01 8.000000000000000000e+00 -1.000000000000000000e+00
1.738051799144631624e+09 -2.000000000000000000e+00 0.000000000000000000e+00 -4.000000000000000000e+00 -3.000000000000000000e+00 -2.000000000000000000e+01 -4.000000000000000000e+00 -6.000000000000000000e+00 -7.000000000000000000e+00
1.738051799144631624e+09 9.000000000000000000e+00 2.000000000000000000e+00 -1.280000000000000000e+02 3.000000000000000000e+01 9.000000000000000000e+01 1.600000000000000000e+01 0.000000000000000000e+00 3.000000000000000000e+00
1.738051799144631624e+09 1.000000000000000000e+00 0.000000000000000000e+00 -5.500000000000000000e+01 -2.400000000000000000e+01 -9.200000000000000000e+01 -1.700000000000000000e+01 -2.000000000000000000e+00 0.000000000000000000e+00
1.738051799144631624e+09 -8.000000000000000000e+00 1.500000000000000000e+01 3.000000000000000000e+01 -1.100000000000000000e+01 2.700000000000000000e+01 6.000000000000000000e+00 5.000000000000000000e+00 -9.000000000000000000e+00
1.738051799144631624e+09 3.000000000000000000e+00 -5.000000000000000000e+00 -2.400000000000000000e+01 -1.200000000000000000e+01 2.300000000000000000e+01 -5.000000000000000000e+00 -6.000000000000000000e+00 4.000000000000000000e+00
1.738051799144631624e+09 -1.000000000000000000e+00 4.000000000000000000e+00 -3.000000000000000000e+00 -1.000000000000000000e+01 5.700000000000000000e+01 6.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00
1.738051799144631624e+09 7.000000000000000000e+00 3.000000000000000000e+00 1.400000000000000000e+01 2.000000000000000000e+01 -1.090000000000000000e+02 -4.300000000000000000e+01 -9.000000000000000000e+00 3.000000000000000000e+00
1.738051799144631624e+09 -4.000000000000000000e+00 1.100000000000000000e+01 -1.400000000000000000e+01 4.000000000000000000e+00 8.300000000000000000e+01 7.000000000000000000e+00 2.000000000000000000e+00 -6.000000000000000000e+00
1.738051799144631624e+09 -6.000000000000000000e+00 -7.000000000000000000e+00 2.500000000000000000e+01 4.000000000000000000e+00 -5.000000000000000000e+01 -7.000000000000000000e+00 -3.000000000000000000e+00 -2.000000000000000000e+00
1.738051799144631624e+09 -3.000000000000000000e+00 6.000000000000000000e+00 8.000000000000000000e+00 1.500000000000000000e+01 1.210000000000000000e+02 8.000000000000000000e+00 2.000000000000000000e+00 -4.000000000000000000e+00
1.738051799144631624e+09 0.000000000000000000e+00 -5.000000000000000000e+00 -8.000000000000000000e+00 -3.100000000000000000e+01 -8.900000000000000000e+01 -2.300000000000000000e+01 -6.000000000000000000e+00 -3.000000000000000000e+00
1.738051799144631624e+09 6.000000000000000000e+00 2.000000000000000000e+00 -6.100000000000000000e+01 1.700000000000000000e+01 2.300000000000000000e+01 3.300000000000000000e+01 3.000000000000000000e+00 6.000000000000000000e+00
1.738051799144631624e+09 9.000000000000000000e+00 1.200000000000000000e+01 -1.200000000000000000e+01 -3.000000000000000000e+00 -5.800000000000000000e+01 1.100000000000000000e+01 2.000000000000000000e+00 3.000000000000000000e+00
1.738051799144631624e+09 -9.000000000000000000e+00 0.000000000000000000e+00 -2.000000000000000000e+00 -7.000000000000000000e+00 -1.000000000000000000e+00 2.100000000000000000e+01 6.000000000000000000e+00 -9.000000000000000000e+00
1.738051799144631624e+09 -2.000000000000000000e+00 -1.300000000000000000e+01 -1.700000000000000000e+01 3.000000000000000000e+00 4.000000000000000000e+01 2.300000000000000000e+01 2.000000000000000000e+00 2.000000000000000000e+00
1.738051799144631624e+09 -4.000000000000000000e+00 -1.400000000000000000e+01 -1.300000000000000000e+01 -3.400000000000000000e+01 -4.300000000000000000e+01 -3.500000000000000000e+01 -1.500000000000000000e+01 -6.000000000000000000e+00
1.738051799144631624e+09 -7.000000000000000000e+00 9.000000000000000000e+00 8.000000000000000000e+00 1.000000000000000000e+01 5.100000000000000000e+01 -1.200000000000000000e+01 0.000000000000000000e+00 -2.000000000000000000e+00
1.738051799144631624e+09 -1.000000000000000000e+00 6.000000000000000000e+00 -9.000000000000000000e+00 -2.000000000000000000e+00 -9.800000000000000000e+01 -2.500000000000000000e+01 -4.000000000000000000e+00 -2.000000000000000000e+00
1.738051799144631624e+09 -6.000000000000000000e+00 -1.000000000000000000e+01 1.700000000000000000e+01 1.300000000000000000e+01 5.900000000000000000e+01 7.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+01
1.738051799144631624e+09 1.000000000000000000e+00 1.300000000000000000e+01 1.700000000000000000e+01 -6.000000000000000000e+00 1.000000000000000000e+00 -3.000000000000000000e+00 1.000000000000000000e+00 -3.000000000000000000e+00
1.738051799144631624e+09 -5.000000000000000000e+00 -3.000000000000000000e+00 -4.900000000000000000e+01 4.000000000000000000e+00 -2.000000000000000000e+00 2.400000000000000000e+01 -5.000000000000000000e+00 -1.400000000000000000e+01
1.738051799144631624e+09 1.300000000000000000e+01 -2.000000000000000000e+00 1.200000000000000000e+01 8.000000000000000000e+00 4.200000000000000000e+01 1.200000000000000000e+01 1.000000000000000000e+01 1.300000000000000000e+01
1.738051799144631624e+09 -1.000000000000000000e+01 -1.300000000000000000e+01 -1.500000000000000000e+01 8.000000000000000000e+00 1.800000000000000000e+01 -2.400000000000000000e+01 -7.000000000000000000e+00 -4.000000000000000000e+00
1.738051799144631624e+09 1.000000000000000000e+00 2.100000000000000000e+01 -1.200000000000000000e+01 1.300000000000000000e+01 -1.210000000000000000e+02 4.000000000000000000e+00 2.000000000000000000e+00 -1.000000000000000000e+00
1.738051799144631624e+09 -3.000000000000000000e+00 -2.400000000000000000e+01 1.000000000000000000e+00 1.300000000000000000e+01 1.250000000000000000e+02 2.700000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.738051799144631624e+09 -1.400000000000000000e+01 -1.000000000000000000e+01 1.100000000000000000e+01 -1.200000000000000000e+01 -8.500000000000000000e+01 -4.100000000000000000e+01 -7.000000000000000000e+00 -1.500000000000000000e+01
1.738051799144631624e+09 -7.000000000000000000e+00 -1.900000000000000000e+01 -5.000000000000000000e+00 -5.000000000000000000e+00 -4.000000000000000000e+00 1.200000000000000000e+01 1.100000000000000000e+01 7.000000000000000000e+00
1.738051799144631624e+09 8.000000000000000000e+00 3.500000000000000000e+01 -1.200000000000000000e+01 3.500000000000000000e+01 1.060000000000000000e+02 1.000000000000000000e+00 -7.000000000000000000e+00 -9.000000000000000000e+00
1.738051799144631624e+09 -7.000000000000000000e+00 -2.000000000000000000e+00 7.000000000000000000e+00 -3.300000000000000000e+01 -6.100000000000000000e+01 -2.800000000000000000e+01 -3.000000000000000000e+00 6.000000000000000000e+00
1.738051799144631624e+09 -1.000000000000000000e+01 3.000000000000000000e+00 7.000000000000000000e+00 -1.000000000000000000e+00 6.000000000000000000e+01 1.500000000000000000e+01 -6.000000000000000000e+00 -1.600000000000000000e+01
1.738051799144631624e+09 5.000000000000000000e+00 -5.000000000000000000e+00 -7.000000000000000000e+00 2.900000000000000000e+01 -1.600000000000000000e+01 -1.800000000000000000e+01 -1.000000000000000000e+00 5.000000000000000000e+00
1.738051799144631624e+09 7.000000000000000000e+00 -7.000000000000000000e+00 3.500000000000000000e+01 -4.300000000000000000e+01 -7.000000000000000000e+01 -2.300000000000000000e+01 -4.000000000000000000e+00 8.000000000000000000e+00
1.738051799144631624e+09 -1.400000000000000000e+01 1.100000000000000000e+01 2.600000000000000000e+01 3.000000000000000000e+00 2.600000000000000000e+01 2.200000000000000000e+01 -2.000000000000000000e+00 -1.200000000000000000e+01
1.738051799144631624e+09 -2.000000000000000000e+00 -4.000000000000000000e+00 -3.700000000000000000e+01 1.700000000000000000e+01 7.900000000000000000e+01 3.200000000000000000e+01 5.000000000000000000e+00 -1.000000000000000000e+01
1.738051799144631624e+09 -3.000000000000000000e+00 1.000000000000000000e+01 -1.500000000000000000e+01 1.000000000000000000e+01 -6.000000000000000000e+00 -1.600000000000000000e+01 -8.000000000000000000e+00 4.000000000000000000e+00
1.738051799144631624e+09 -1.200000000000000000e+01 -1.100000000000000000e+01 -2.500000000000000000e+01 -1.500000000000000000e+01 4.000000000000000000e+01 2.300000000000000000e+01 8.000000000000000000e+00 -1.400000000000000000e+01
1.738051799144631624e+09 9.000000000000000000e+00 -9.000000000000000000e+00 -2.200000000000000000e+01 2.000000000000000000e+00 -3.300000000000000000e+01 -2.600000000000000000e+01 4.000000000000000000e+00 1.000000000000000000e+01
1.738051799144631624e+09 -8.000000000000000000e+00 1.000000000000000000e+01 -9.000000000000000000e+00 1.700000000000000000e+01 -5.700000000000000000e+01 -2.200000000000000000e+01 -1.000000000000000000e+01 -2.300000000000000000e+01
1.738051799144631624e+09 -3.100000000000000000e+01 -1.500000000000000000e+01 -1.200000000000000000e+01 -3.000000000000000000e+00 -2.300000000000000000e+01 2.900000000000000000e+01 1.600000000000000000e+01 1.800000000000000000e+01
1.738051799144631624e+09 2.100000000000000000e+01 -2.300000000000000000e+01 -4.800000000000000000e+01 2.600000000000000000e+01 3.600000000000000000e+01 -8.000000000000000000e+00 9.000000000000000000e+00 7.000000000000000000e+00
1.738051799144631624e+09 3.000000000000000000e+00 3.400000000000000000e+01 -7.500000000000000000e+01 4.200000000000000000e+01 2.100000000000000000e+01 1.000000000000000000e+00 -1.000000000000000000e+01 1.300000000000000000e+01
1.738051799144631624e+09 -1.800000000000000000e+01 -4.200000000000000000e+01 -4.000000000000000000e+01 -1.200000000000000000e+01 1.300000000000000000e+01 1.700000000000000000e+01 9.000000000000000000e+00 -7.000000000000000000e+00
1.738051799144631624e+09 4.000000000000000000e+00 1.700000000000000000e+01 -5.000000000000000000e+00 -1.400000000000000000e+01 1.600000000000000000e+01 5.000000000000000000e+00 -1.000000000000000000e+00 1.500000000000000000e+01
1.738051799144631624e+09 8.000000000000000000e+00 -9.000000000000000000e+00 1.300000000000000000e+01 3.200000000000000000e+01 3.000000000000000000e+00 1.000000000000000000e+00 -1.200000000000000000e+01 -1.000000000000000000e+00
1.738051799144631624e+09 0.000000000000000000e+00 1.200000000000000000e+01 8.000000000000000000e+00 -2.100000000000000000e+01 -3.400000000000000000e+01 -1.500000000000000000e+01 -1.200000000000000000e+01 -3.000000000000000000e+00
1.738051799144631624e+09 -2.000000000000000000e+01 5.000000000000000000e+00 2.000000000000000000e+00 1.000000000000000000e+00 -2.700000000000000000e+01 -9.000000000000000000e+00 1.000000000000000000e+00 -4.700000000000000000e+01
1.738051799144631624e+09 7.000000000000000000e+00 -2.400000000000000000e+01 -2.800000000000000000e+01 1.000000000000000000e+01 2.800000000000000000e+01 1.700000000000000000e+01 2.000000000000000000e+01 2.600000000000000000e+01
1.738051799144631624e+09 -4.000000000000000000e+00 1.400000000000000000e+01 -7.000000000000000000e+00 0.000000000000000000e+00 -1.200000000000000000e+01 -1.000000000000000000e+00 -7.000000000000000000e+00 -2.300000000000000000e+01
1.738051799144631624e+09 -1.800000000000000000e+01 -3.300000000000000000e+01 -1.100000000000000000e+01 -5.000000000000000000e+00 -5.000000000000000000e+00 -1.000000000000000000e+00 -1.100000000000000000e+01 -5.000000000000000000e+00
1.738051799144631624e+09 1.400000000000000000e+01 6.000000000000000000e+00 -2.500000000000000000e+01 -3.200000000000000000e+01 -8.000000000000000000e+00 -2.000000000000000000e+00 5.000000000000000000e+00 -4.100000000000000000e+01
1.738051799144631624e+09 6.000000000000000000e+00 1.400000000000000000e+01 -2.300000000000000000e+01 -2.400000000000000000e+01 6.000000000000000000e+00 -1.100000000000000000e+01 -2.700000000000000000e+01 4.500000000000000000e+01
1.738051799144631624e+09 -7.000000000000000000e+00 -1.200000000000000000e+01 -5.700000000000000000e+01 -3.400000000000000000e+01 5.000000000000000000e+00 9.000000000000000000e+00 7.000000000000000000e+00 -4.400000000000000000e+01
1.738051799144631624e+09 -4.000000000000000000e+01 3.800000000000000000e+01 7.000000000000000000e+00 -5.000000000000000000e+00 2.400000000000000000e+01 2.000000000000000000e+00 -1.400000000000000000e+01 1.100000000000000000e+01
